portfolio,mean_rank,median_rank,rank_volatility,mean_score,score_volatility,maximum_rank_improvement,maximum_rank_deterioration,same_quintile_probability,move_up_probability,move_down_probability,time_in_quintile_1,time_in_quintile_2,time_in_quintile_3,time_in_quintile_4,time_in_quintile_5,mobility_horizon_months,window_overlap_fraction,structural_inference_eligible
SMALL HiBM,7.466666666666667,6.0,5.225692793165259,0.0006538351676943922,0.0007699946841124514,19.0,16.0,0.275,0.4,0.325,0.022222222222222223,0.07777777777777778,0.17777777777777778,0.24444444444444444,0.4777777777777778,120,0.0,True
BIG LoBM,8.1,6.0,6.700746227100381,0.0007119552645892922,0.0008830484760528614,20.0,21.0,0.175,0.425,0.4,0.044444444444444446,0.13333333333333333,0.2,0.15555555555555556,0.4666666666666667,120,0.0,True
ME1 BM4,8.71111111111111,7.0,6.353349014132687,0.0007882400883183694,0.0011097820587812695,21.0,20.0,0.1875,0.4375,0.375,0.05555555555555555,0.13333333333333333,0.13333333333333333,0.3,0.37777777777777777,120,0.0,True
ME3 BM2,8.955555555555556,8.0,5.580687225836011,0.00031568622678540786,0.0009113669626915765,19.0,19.0,0.1625,0.4,0.4375,0.03333333333333333,0.08888888888888889,0.2222222222222222,0.34444444444444444,0.3111111111111111,120,0.0,True
ME2 BM4,9.155555555555555,9.0,6.103804507286503,0.0003002834171264854,0.0009489811330486901,19.0,22.0,0.2625,0.4375,0.3,0.03333333333333333,0.12222222222222222,0.2777777777777778,0.18888888888888888,0.37777777777777777,120,0.0,True
ME4 BM1,9.633333333333333,9.0,5.724871815453232,0.00037374888092389104,0.0007510142733341903,14.0,18.0,0.175,0.4125,0.4125,0.022222222222222223,0.17777777777777778,0.18888888888888888,0.3333333333333333,0.2777777777777778,120,0.0,True
ME5 BM3,9.977777777777778,7.0,7.553521059711201,0.00029220639466065684,0.0009506172653476612,20.0,24.0,0.2625,0.4125,0.325,0.14444444444444443,0.13333333333333333,0.14444444444444443,0.2,0.37777777777777777,120,0.0,True
ME2 BM2,10.588888888888889,11.0,6.131323966568821,0.00016294209342762448,0.0007327115418218213,17.0,19.0,0.175,0.4875,0.3375,0.07777777777777778,0.14444444444444443,0.28888888888888886,0.24444444444444444,0.24444444444444444,120,0.0,True
ME3 BM4,10.655555555555555,9.0,6.220952474331414,0.00025629312024321956,0.0009826247757861914,23.0,22.0,0.1125,0.425,0.4625,0.08888888888888889,0.2,0.13333333333333333,0.35555555555555557,0.2222222222222222,120,0.0,True
ME2 BM3,11.677777777777777,10.0,7.463510903471783,0.00036965775442774615,0.0011046960051264822,24.0,22.0,0.1375,0.3875,0.475,0.17777777777777778,0.15555555555555556,0.14444444444444443,0.25555555555555554,0.26666666666666666,120,0.0,True
ME2 BM5,11.744444444444444,10.0,6.75337803298686,0.00011797255055133246,0.0007061385567406912,21.0,16.0,0.3125,0.3375,0.35,0.13333333333333333,0.16666666666666666,0.18888888888888888,0.3,0.2111111111111111,120,0.0,True
ME4 BM4,11.977777777777778,12.0,7.7792258327422275,7.035858171817975e-05,0.0009299578295746484,23.0,24.0,0.1,0.5125,0.3875,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.13333333333333333,0.3111111111111111,120,0.0,True
ME3 BM3,12.022222222222222,12.0,7.207950943506415,3.0047987312740097e-05,0.0010721759418759807,23.0,21.0,0.15,0.3125,0.5375,0.14444444444444443,0.18888888888888888,0.2222222222222222,0.2222222222222222,0.2222222222222222,120,0.0,True
ME4 BM2,12.488888888888889,12.0,5.779165299638808,8.624505874350229e-05,0.0008032587797440737,19.0,21.0,0.2375,0.4,0.3625,0.1,0.2222222222222222,0.2777777777777778,0.28888888888888886,0.1111111111111111,120,0.0,True
ME4 BM3,12.522222222222222,12.0,7.465618238324238,4.210345615562436e-06,0.0008203847777742563,21.0,18.0,0.175,0.4125,0.4125,0.2111111111111111,0.17777777777777778,0.18888888888888888,0.14444444444444443,0.2777777777777778,120,0.0,True
