date,portfolio,excess_return,model_type,factor_model,frontier,fitted_value,residual,composed_error,u_hat,u_hat_standardized,AE,AE_raw_plugin_legacy
1926-07-31 23:59:59.999999999,BIG HiBM,0.0034230000000000003,half_normal,ff3,0.012147769063340821,0.012147769063340821,-0.00872476906334082,-0.00872476906334082,0.0,0.0,1.0,1.0
1926-08-31 23:59:59.999999999,BIG HiBM,0.075076,half_normal,ff3,0.06897680382524983,0.06897680382524983,0.006099196174750174,0.006099196174750174,0.0,0.0,1.0,1.0
1926-09-30 23:59:59.999999999,BIG HiBM,-0.026584,half_normal,ff3,0.005249077291518342,0.005249077291518342,-0.03183307729151834,-0.03183307729151834,0.0,0.0,1.0,1.0
1926-10-31 23:59:59.999999999,BIG HiBM,-0.061329,half_normal,ff3,-0.0317379487339227,-0.0317379487339227,-0.0295910512660773,-0.0295910512660773,0.0,0.0,1.0,1.0
1926-11-30 23:59:59.999999999,BIG HiBM,0.022536000000000004,half_normal,ff3,0.022294273667216032,0.022294273667216032,0.00024172633278397165,0.00024172633278397165,0.0,0.0,1.0,1.0
1926-12-31 23:59:59.999999999,BIG HiBM,0.021224,half_normal,ff3,0.02985390313456871,0.02985390313456871,-0.008629903134568712,-0.008629903134568712,0.0,0.0,1.0,1.0
1927-01-31 23:59:59.999999999,BIG HiBM,0.039641,half_normal,ff3,0.04384839555023412,0.04384839555023412,-0.004207395550234118,-0.004207395550234118,0.0,0.0,1.0,1.0
1927-02-28 23:59:59.999999999,BIG HiBM,0.06013100000000001,half_normal,ff3,0.07438592224476594,0.07438592224476594,-0.014254922244765926,-0.014254922244765926,0.0,0.0,1.0,1.0
1927-03-31 23:59:59.999999999,BIG HiBM,-0.041449,half_normal,ff3,-0.021201826123449112,-0.021201826123449112,-0.020247173876550888,-0.020247173876550888,0.0,0.0,1.0,1.0
1927-04-30 23:59:59.999999999,BIG HiBM,-0.037845000000000004,half_normal,ff3,0.00979464129645733,0.00979464129645733,-0.047639641296457334,-0.047639641296457334,0.0,0.0,1.0,1.0
1927-05-31 23:59:59.999999999,BIG HiBM,0.044761999999999996,half_normal,ff3,0.1080563034478843,0.1080563034478843,-0.06329430344788431,-0.06329430344788431,0.0,0.0,1.0,1.0
1927-06-30 23:59:59.999999999,BIG HiBM,-0.056361,half_normal,ff3,-0.047505443383347626,-0.047505443383347626,-0.008855556616652376,-0.008855556616652376,0.0,0.0,1.0,1.0
1927-07-31 23:59:59.999999999,BIG HiBM,0.131463,half_normal,ff3,0.07711663843994937,0.07711663843994937,0.05434636156005063,0.05434636156005063,0.0,0.0,1.0,1.0
1927-08-31 23:59:59.999999999,BIG HiBM,0.036299,half_normal,ff3,-0.015516975401064097,-0.015516975401064097,0.0518159754010641,0.0518159754010641,0.0,0.0,1.0,1.0
1927-09-30 23:59:59.999999999,BIG HiBM,0.053823,half_normal,ff3,0.05388476303940762,0.05388476303940762,-6.176303940761546e-05,-6.176303940761546e-05,0.0,0.0,1.0,1.0
1927-10-31 23:59:59.999999999,BIG HiBM,-0.147957,half_normal,ff3,-0.09953068273056695,-0.09953068273056695,-0.048426317269433056,-0.048426317269433056,0.0,0.0,1.0,1.0
1927-11-30 23:59:59.999999999,BIG HiBM,0.078676,half_normal,ff3,0.0702644194268559,0.0702644194268559,0.00841158057314409,0.00841158057314409,0.0,0.0,1.0,1.0
1927-12-31 23:59:59.999999999,BIG HiBM,0.10156899999999999,half_normal,ff3,0.010369255119993887,0.010369255119993887,0.09119974488000611,0.09119974488000611,0.0,0.0,1.0,1.0
1928-01-31 23:59:59.999999999,BIG HiBM,-0.053148,half_normal,ff3,-0.021409769519276457,-0.021409769519276457,-0.031738230480723544,-0.031738230480723544,0.0,0.0,1.0,1.0
1928-02-29 23:59:59.999999999,BIG HiBM,-0.017192,half_normal,ff3,-0.02497192339608675,-0.02497192339608675,0.007779923396086751,0.007779923396086751,0.0,0.0,1.0,1.0
1928-03-31 23:59:59.999999999,BIG HiBM,0.164379,half_normal,ff3,0.09119418225657032,0.09119418225657032,0.07318481774342968,0.07318481774342968,0.0,0.0,1.0,1.0
1928-04-30 23:59:59.999999999,BIG HiBM,0.030896,half_normal,ff3,0.07481389210820438,0.07481389210820438,-0.04391789210820438,-0.04391789210820438,0.0,0.0,1.0,1.0
1928-05-31 23:59:59.999999999,BIG HiBM,-0.042008,half_normal,ff3,-0.01751424175892928,-0.01751424175892928,-0.024493758241070716,-0.024493758241070716,0.0,0.0,1.0,1.0
1928-06-30 23:59:59.999999999,BIG HiBM,-0.09422000000000001,half_normal,ff3,-0.05113351471760304,-0.05113351471760304,-0.043086485282396975,-0.043086485282396975,0.0,0.0,1.0,1.0
1928-07-31 23:59:59.999999999,BIG HiBM,0.004509000000000001,half_normal,ff3,0.0023102865707346322,0.0023102865707346322,0.0021987134292653686,0.0021987134292653686,0.0,0.0,1.0,1.0
1928-08-31 23:59:59.999999999,BIG HiBM,0.046639,half_normal,ff3,0.05869887482279682,0.05869887482279682,-0.012059874822796822,-0.012059874822796822,0.0,0.0,1.0,1.0
1928-09-30 23:59:59.999999999,BIG HiBM,0.067094,half_normal,ff3,0.037049580199829756,0.037049580199829756,0.030044419800170245,0.030044419800170245,0.0,0.0,1.0,1.0
1928-10-31 23:59:59.999999999,BIG HiBM,0.043357,half_normal,ff3,-0.010760007380446504,-0.010760007380446504,0.0541170073804465,0.0541170073804465,0.0,0.0,1.0,1.0
1928-11-30 23:59:59.999999999,BIG HiBM,0.175116,half_normal,ff3,0.16633981585036883,0.16633981585036883,0.008776184149631161,0.008776184149631161,0.0,0.0,1.0,1.0
1928-12-31 23:59:59.999999999,BIG HiBM,0.003126,half_normal,ff3,-0.0008072501035878421,-0.0008072501035878421,0.003933250103587842,0.003933250103587842,0.0,0.0,1.0,1.0
1929-01-31 23:59:59.999999999,BIG HiBM,-0.003151,half_normal,ff3,0.04575880741711098,0.04575880741711098,-0.048909807417110984,-0.048909807417110984,0.0,0.0,1.0,1.0
1929-02-28 23:59:59.999999999,BIG HiBM,0.031024000000000003,half_normal,ff3,0.011357808403512956,0.011357808403512956,0.019666191596487047,0.019666191596487047,0.0,0.0,1.0,1.0
1929-03-31 23:59:59.999999999,BIG HiBM,0.004091999999999999,half_normal,ff3,0.010983305099541558,0.010983305099541558,-0.0068913050995415585,-0.0068913050995415585,0.0,0.0,1.0,1.0
1929-04-30 23:59:59.999999999,BIG HiBM,0.024980000000000002,half_normal,ff3,0.026493618307838973,0.026493618307838973,-0.0015136183078389709,-0.0015136183078389709,0.0,0.0,1.0,1.0
1929-05-31 23:59:59.999999999,BIG HiBM,-0.021114,half_normal,ff3,-0.08408122830876522,-0.08408122830876522,0.06296722830876522,0.06296722830876522,0.0,0.0,1.0,1.0
1929-06-30 23:59:59.999999999,BIG HiBM,0.042044,half_normal,ff3,0.08815965461050043,0.08815965461050043,-0.046115654610500434,-0.046115654610500434,0.0,0.0,1.0,1.0
1929-07-31 23:59:59.999999999,BIG HiBM,0.04815400000000001,half_normal,ff3,0.08314180507061378,0.08314180507061378,-0.03498780507061377,-0.03498780507061377,0.0,0.0,1.0,1.0
1929-08-31 23:59:59.999999999,BIG HiBM,0.064384,half_normal,ff3,0.11113701489350021,0.11113701489350021,-0.046753014893500214,-0.046753014893500214,0.0,0.0,1.0,1.0
1929-09-30 23:59:59.999999999,BIG HiBM,-0.07222,half_normal,ff3,-0.07552251368736125,-0.07552251368736125,0.0033025136873612443,0.0033025136873612443,0.0,0.0,1.0,1.0
1929-10-31 23:59:59.999999999,BIG HiBM,-0.07947499999999999,half_normal,ff3,-0.15549489924941107,-0.15549489924941107,0.07601989924941108,0.07601989924941108,0.0,0.0,1.0,1.0
1929-11-30 23:59:59.999999999,BIG HiBM,-0.067062,half_normal,ff3,-0.10142949876495153,-0.10142949876495153,0.03436749876495153,0.03436749876495153,0.0,0.0,1.0,1.0
1929-12-31 23:59:59.999999999,BIG HiBM,0.005045000000000001,half_normal,ff3,0.01783997764430836,0.01783997764430836,-0.01279497764430836,-0.01279497764430836,0.0,0.0,1.0,1.0
1930-01-31 23:59:59.999999999,BIG HiBM,-0.005504,half_normal,ff3,0.04908680713959753,0.04908680713959753,-0.05459080713959753,-0.05459080713959753,0.0,0.0,1.0,1.0
1930-02-28 23:59:59.999999999,BIG HiBM,0.046741,half_normal,ff3,0.030136579327734288,0.030136579327734288,0.01660442067226571,0.01660442067226571,0.0,0.0,1.0,1.0
1930-03-31 23:59:59.999999999,BIG HiBM,0.017952,half_normal,ff3,0.07988533064231293,0.07988533064231293,-0.061933330642312934,-0.061933330642312934,0.0,0.0,1.0,1.0
1930-04-30 23:59:59.999999999,BIG HiBM,-0.075689,half_normal,ff3,-0.02894932093706351,-0.02894932093706351,-0.046739679062936496,-0.046739679062936496,0.0,0.0,1.0,1.0
1930-05-31 23:59:59.999999999,BIG HiBM,-0.010607,half_normal,ff3,-0.025558583553127536,-0.025558583553127536,0.014951583553127536,0.014951583553127536,0.0,0.0,1.0,1.0
1930-06-30 23:59:59.999999999,BIG HiBM,-0.099801,half_normal,ff3,-0.1617244141685163,-0.1617244141685163,0.061923414168516294,0.061923414168516294,0.0,0.0,1.0,1.0
1930-07-31 23:59:59.999999999,BIG HiBM,0.102629,half_normal,ff3,0.030241570861281337,0.030241570861281337,0.07238742913871866,0.07238742913871866,0.0,0.0,1.0,1.0
1930-08-31 23:59:59.999999999,BIG HiBM,-0.24133700000000002,half_normal,ff3,-0.0009297736149004214,-0.0009297736149004214,-0.2404072263850996,-0.2404072263850996,0.0,0.0,1.0,1.0
1930-09-30 23:59:59.999999999,BIG HiBM,-0.28277599999999997,half_normal,ff3,-0.19957973583024935,-0.19957973583024935,-0.08319626416975062,-0.08319626416975062,0.0,0.0,1.0,1.0
