portfolio,model_type,factor_model,sample_start,sample_end,number_of_portfolios,number_of_observations,n_obs,log_likelihood,AIC,BIC,sigma_v,sigma_u,lambda,normal_log_likelihood,boundary_lr_stat,boundary_mixture_p_value,one_sided_component_supported,converged,runtime_seconds,residual_mean,residual_std,residual_skewness,residual_kurtosis,jarque_bera_p_value,durbin_watson,ljung_box_lag_12_p_value,arch_lm_lag_12_p_value
ME3 BM5,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,25,29825,1193,2801.925360986209,-5591.850721972418,-5561.34536343983,0.023107992119289298,0.0,0.0,2801.925383213766,0.0,0.5,False,True,0.2827145199998995,2.280005373287203e-18,0.02311768303693874,1.6047550095456944,16.949256817388207,0.0,2.2393964680167606,0.003294548074368158,5.140463723089039e-08
ME4 BM1,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,25,29825,1193,3211.622462446932,-6411.244924893864,-6380.739566361276,0.016391468949605376,0.0,0.0,3211.6224886227556,0.0,0.5,False,True,0.2569457549998333,3.4898041427865354e-19,0.01639834312434648,0.6338469482173628,4.739006073125182,6.605572120441386e-258,1.9782266619077804,0.08997089357393934,8.306826383722927e-20
ME4 BM2,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,25,29825,1193,3175.855367668293,-6339.710735336586,-6309.205376803999,0.016890338943873547,0.0,0.0,3175.8554122890127,0.0,0.5,False,True,0.2333766960000503,2.0473517637681007e-18,0.016897422332293074,0.7320818548958967,6.691602799844581,0.0,1.863933944554846,0.0036940452015018365,3.3239931059362156e-23
ME4 BM3,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,25,29825,1193,3080.5452077274776,-6149.090415454955,-6118.585056922368,0.018294232936741647,0.0,0.0,3080.60143466944,0.0,0.5,False,True,0.16827532800016343,7.677569114130379e-19,0.018301905083414303,0.20984909878155927,4.786460845084387,2.471432436016225e-247,1.9087845194554538,0.3171451575176774,1.3533469555525442e-45
ME4 BM4,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,25,29825,1193,2981.580834151041,-5951.161668302082,-5920.656309769494,0.019877475132805866,0.0,0.0,2981.5808627023075,0.0,0.5,False,True,0.2739585110002736,2.326536095191024e-18,0.019885811251911176,0.5059982480962375,5.785762429383176,0.0,2.0799015588477734,0.01475390303611279,5.1726525284740935e-17
ME4 BM5,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,25,29825,1193,2679.3794254347804,-5346.758850869561,-5316.253492336973,0.02560786046660464,0.0,0.0,2679.37944859068,0.0,0.5,False,True,0.3021255769999698,6.793485397957789e-18,0.02561859976691595,0.2383205787234393,3.517360253576407,3.2176118064032764e-135,2.0281639258468735,0.2549033598439174,6.637745017750642e-25
ME5 BM2,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,25,29825,1193,3391.4617950537217,-6770.9235901074435,-6740.418231574856,0.01409775472355278,0.0,0.0,3391.461832241396,0.0,0.5,False,True,0.30268349400012085,-2.326536095191024e-19,0.014103666971547447,0.2692876251125157,1.7300990439468693,1.0576510864593746e-35,1.9945527910621892,0.17668704839053365,2.4341047729304916e-30
ME5 BM3,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,25,29825,1193,3158.0043306103134,-6304.008661220627,-6273.503302688039,0.015022750739941892,0.013769653143593748,0.9165866745684291,3154.897486356548,6.213688507530605,0.006338311367627318,True,True,0.13418667699988873,4.538665838010466e-09,0.013207023794258383,0.5462830005749685,3.6388018520292302,6.4873435366867675e-155,1.8178992376867011,0.05902384779105867,3.2771463861705693e-15
ME5 BM4,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,25,29825,1193,3099.9471143151413,-6187.894228630283,-6157.388870097695,0.015531043035852897,0.015196441310526373,0.97845593985194,3093.9056436404535,12.082941349375687,0.00025442628125263157,True,True,0.1817903840001236,-2.7523245744072764e-09,0.013461270786699174,0.8050462190962445,6.318775643474137,0.0,1.9847832556636582,0.00033110534624062097,2.415773643032256e-48
SMALL HiBM,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,25,29825,1193,2736.0152742565524,-5460.030548513105,-5429.525189980517,0.024420572052169413,0.0,0.0,2736.0152862087534,0.0,0.5,False,True,0.1838671230007094,1.5355138228260757e-18,0.02443081343322443,2.952113653933802,32.491953337982,0.0,2.3943684278097512,3.444506402391999e-10,4.119724237964233e-06
SMALL LoBM,half_normal,ff3,1926-07-31 23:59:59.999999999,2025-11-30 23:59:59.999999999,25,29825,1193,1496.0222072906013,-2980.0444145812025,-2949.539056048615,0.06904901183620805,0.0,0.0,1496.0222110044344,0.0,0.5,False,True,0.16665077000016026,4.2808264151514836e-18,0.06907796927586903,3.4580825114912352,53.90362539303292,0.0,2.050230402362916,3.409286278764224e-23,9.059143526363976e-34
