source,official_url,access_date,csv_path,csv_sha256,zip_path,zip_sha256,source_units,weighting,coverage_start,coverage_end,n_rows
portfolios,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/ftp/25_Portfolios_5x5_CSV.zip,2026-07-16,/Users/muhammadshoaib/Library/CloudStorage/Dropbox/0-Hobby_Projects/latent-performance-benchmarking/data/reference/official/25_Portfolios_5x5.csv,fc5b34a6c4db7de8cde14a301aa31b928ac8aae332b63ea3e4c8bc63f3fc72a9,/Users/muhammadshoaib/Library/CloudStorage/Dropbox/0-Hobby_Projects/latent-performance-benchmarking/data/reference/official/25_Portfolios_5x5_CSV.zip,afc2f6c40237d07b99ab84ab9375a08bc301e3801e3ad8d91aa90d5aa9ec6295,percent in source; decimal after loading,value-weighted monthly returns; first monthly block,1926-07-31 23:59:59.999999999,2026-05-31 23:59:59.999999999,29975
ff3,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/ftp/F-F_Research_Data_Factors_CSV.zip,2026-07-16,/Users/muhammadshoaib/Library/CloudStorage/Dropbox/0-Hobby_Projects/latent-performance-benchmarking/data/reference/official/F-F_Research_Data_Factors.csv,a26fcdeb09199d29bf79d40bb34ce0ffe41798d08feff1190a2c532b4742e88e,/Users/muhammadshoaib/Library/CloudStorage/Dropbox/0-Hobby_Projects/latent-performance-benchmarking/data/reference/official/F-F_Research_Data_Factors_CSV.zip,80b88699a18ac408e2456d25b1004e340f3f7f8d41d5b476a0285bc53c6f0436,percent in source; decimal after loading,factor returns,1926-07-31 23:59:59.999999999,2026-05-31 23:59:59.999999999,1199
ff5,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/ftp/F-F_Research_Data_5_Factors_2x3_CSV.zip,2026-07-16,/Users/muhammadshoaib/Library/CloudStorage/Dropbox/0-Hobby_Projects/latent-performance-benchmarking/data/reference/official/F-F_Research_Data_5_Factors_2x3.csv,e101e7bb3ba30d0abe5919ec28fb78723b08bd668041cf0274c65ed7ca5bf249,/Users/muhammadshoaib/Library/CloudStorage/Dropbox/0-Hobby_Projects/latent-performance-benchmarking/data/reference/official/F-F_Research_Data_5_Factors_2x3_CSV.zip,ddc0280b2bb8ca6c4c6ea5b68923a5549c37259bde468202108c11e812bd4241,percent in source; decimal after loading,factor returns,1963-07-31 23:59:59.999999999,2026-05-31 23:59:59.999999999,755
