window_left,window_right,n_common_observations,n_common_window_ends,rank_correlation,score_correlation,rank_correlation_window_std,score_correlation_window_std,top_quintile_jaccard,bottom_quintile_jaccard
60,120,225,9,0.7172641215029277,0.7459362102469866,0.12935719548470676,0.15035865549783564,0.3932980599647266,0.36684303350970016
60,180,225,9,0.546345802270496,0.579966032490457,0.16794749461288655,0.11482724565913571,0.3249559082892416,0.2940917107583774
120,180,225,9,0.7819423233365103,0.80150064433758,0.1375823822299416,0.1011487947997736,0.5145502645502645,0.4484126984126984
