from_quintile,stay_probability,upgrade_probability,downgrade_probability,top_quintile_persistence,bottom_quintile_persistence,horizon_months,window_length_months,window_overlap_fraction,structural_inference_eligible,n_transitions
1,0.285,0.715,0.0,0.285,0.285,120,120,0.0,True,2000
2,0.22,0.5375,0.2425,0.285,0.285,120,120,0.0,True,2000
3,0.2225,0.4325,0.345,0.285,0.285,120,120,0.0,True,2000
4,0.2325,0.195,0.5725,0.285,0.285,120,120,0.0,True,2000
5,0.285,0.0,0.7150000000000001,0.285,0.285,120,120,0.0,True,2000
