date,portfolio,excess_return,factor_model,fitted_value,residual
1926-07-31 23:59:59.999999999,BIG HiBM,0.0034230000000000003,ff3,0.012147769063340821,-0.00872476906334082
1926-08-31 23:59:59.999999999,BIG HiBM,0.075076,ff3,0.06897680382524983,0.006099196174750174
1926-09-30 23:59:59.999999999,BIG HiBM,-0.026584,ff3,0.005249077291518342,-0.03183307729151834
1926-10-31 23:59:59.999999999,BIG HiBM,-0.061329,ff3,-0.0317379487339227,-0.0295910512660773
1926-11-30 23:59:59.999999999,BIG HiBM,0.022536000000000004,ff3,0.022294273667216032,0.00024172633278397165
1926-12-31 23:59:59.999999999,BIG HiBM,0.021224,ff3,0.02985390313456871,-0.008629903134568712
1927-01-31 23:59:59.999999999,BIG HiBM,0.039641,ff3,0.04384839555023412,-0.004207395550234118
1927-02-28 23:59:59.999999999,BIG HiBM,0.06013100000000001,ff3,0.07438592224476594,-0.014254922244765926
1927-03-31 23:59:59.999999999,BIG HiBM,-0.041449,ff3,-0.021201826123449112,-0.020247173876550888
1927-04-30 23:59:59.999999999,BIG HiBM,-0.037845000000000004,ff3,0.00979464129645733,-0.047639641296457334
1927-05-31 23:59:59.999999999,BIG HiBM,0.044761999999999996,ff3,0.1080563034478843,-0.06329430344788431
1927-06-30 23:59:59.999999999,BIG HiBM,-0.056361,ff3,-0.047505443383347626,-0.008855556616652376
1927-07-31 23:59:59.999999999,BIG HiBM,0.131463,ff3,0.07711663843994937,0.05434636156005063
1927-08-31 23:59:59.999999999,BIG HiBM,0.036299,ff3,-0.015516975401064097,0.0518159754010641
1927-09-30 23:59:59.999999999,BIG HiBM,0.053823,ff3,0.05388476303940762,-6.176303940761546e-05
1927-10-31 23:59:59.999999999,BIG HiBM,-0.147957,ff3,-0.09953068273056695,-0.048426317269433056
1927-11-30 23:59:59.999999999,BIG HiBM,0.078676,ff3,0.0702644194268559,0.00841158057314409
1927-12-31 23:59:59.999999999,BIG HiBM,0.10156899999999999,ff3,0.010369255119993887,0.09119974488000611
1928-01-31 23:59:59.999999999,BIG HiBM,-0.053148,ff3,-0.021409769519276457,-0.031738230480723544
1928-02-29 23:59:59.999999999,BIG HiBM,-0.017192,ff3,-0.02497192339608675,0.007779923396086751
1928-03-31 23:59:59.999999999,BIG HiBM,0.164379,ff3,0.09119418225657032,0.07318481774342968
1928-04-30 23:59:59.999999999,BIG HiBM,0.030896,ff3,0.07481389210820438,-0.04391789210820438
1928-05-31 23:59:59.999999999,BIG HiBM,-0.042008,ff3,-0.01751424175892928,-0.024493758241070716
1928-06-30 23:59:59.999999999,BIG HiBM,-0.09422000000000001,ff3,-0.05113351471760304,-0.043086485282396975
1928-07-31 23:59:59.999999999,BIG HiBM,0.004509000000000001,ff3,0.0023102865707346322,0.0021987134292653686
1928-08-31 23:59:59.999999999,BIG HiBM,0.046639,ff3,0.05869887482279682,-0.012059874822796822
1928-09-30 23:59:59.999999999,BIG HiBM,0.067094,ff3,0.037049580199829756,0.030044419800170245
1928-10-31 23:59:59.999999999,BIG HiBM,0.043357,ff3,-0.010760007380446504,0.0541170073804465
1928-11-30 23:59:59.999999999,BIG HiBM,0.175116,ff3,0.16633981585036883,0.008776184149631161
1928-12-31 23:59:59.999999999,BIG HiBM,0.003126,ff3,-0.0008072501035878421,0.003933250103587842
1929-01-31 23:59:59.999999999,BIG HiBM,-0.003151,ff3,0.04575880741711098,-0.048909807417110984
1929-02-28 23:59:59.999999999,BIG HiBM,0.031024000000000003,ff3,0.011357808403512956,0.019666191596487047
1929-03-31 23:59:59.999999999,BIG HiBM,0.004091999999999999,ff3,0.010983305099541558,-0.0068913050995415585
1929-04-30 23:59:59.999999999,BIG HiBM,0.024980000000000002,ff3,0.026493618307838973,-0.0015136183078389709
1929-05-31 23:59:59.999999999,BIG HiBM,-0.021114,ff3,-0.08408122830876522,0.06296722830876522
1929-06-30 23:59:59.999999999,BIG HiBM,0.042044,ff3,0.08815965461050043,-0.046115654610500434
1929-07-31 23:59:59.999999999,BIG HiBM,0.04815400000000001,ff3,0.08314180507061378,-0.03498780507061377
1929-08-31 23:59:59.999999999,BIG HiBM,0.064384,ff3,0.11113701489350021,-0.046753014893500214
1929-09-30 23:59:59.999999999,BIG HiBM,-0.07222,ff3,-0.07552251368736125,0.0033025136873612443
1929-10-31 23:59:59.999999999,BIG HiBM,-0.07947499999999999,ff3,-0.15549489924941107,0.07601989924941108
1929-11-30 23:59:59.999999999,BIG HiBM,-0.067062,ff3,-0.10142949876495153,0.03436749876495153
1929-12-31 23:59:59.999999999,BIG HiBM,0.005045000000000001,ff3,0.01783997764430836,-0.01279497764430836
1930-01-31 23:59:59.999999999,BIG HiBM,-0.005504,ff3,0.04908680713959753,-0.05459080713959753
1930-02-28 23:59:59.999999999,BIG HiBM,0.046741,ff3,0.030136579327734288,0.01660442067226571
1930-03-31 23:59:59.999999999,BIG HiBM,0.017952,ff3,0.07988533064231293,-0.061933330642312934
1930-04-30 23:59:59.999999999,BIG HiBM,-0.075689,ff3,-0.02894932093706351,-0.046739679062936496
1930-05-31 23:59:59.999999999,BIG HiBM,-0.010607,ff3,-0.025558583553127536,0.014951583553127536
1930-06-30 23:59:59.999999999,BIG HiBM,-0.099801,ff3,-0.1617244141685163,0.061923414168516294
1930-07-31 23:59:59.999999999,BIG HiBM,0.102629,ff3,0.030241570861281337,0.07238742913871866
1930-08-31 23:59:59.999999999,BIG HiBM,-0.24133700000000002,ff3,-0.0009297736149004214,-0.2404072263850996
1930-09-30 23:59:59.999999999,BIG HiBM,-0.28277599999999997,ff3,-0.19957973583024935,-0.08319626416975062
1930-10-31 23:59:59.999999999,BIG HiBM,-0.20090000000000002,ff3,-0.11547895462719449,-0.08542104537280554
1930-11-30 23:59:59.999999999,BIG HiBM,-0.1263,ff3,-0.07886712535424197,-0.04743287464575803
1930-12-31 23:59:59.999999999,BIG HiBM,-0.3014,ff3,-0.1441309259863394,-0.1572690740136606
1931-01-31 23:59:59.999999999,BIG HiBM,0.345439,ff3,0.14900661582131097,0.19643238417868902
1931-02-28 23:59:59.999999999,BIG HiBM,0.423842,ff3,0.13762077129243436,0.2862212287075656
1931-03-31 23:59:59.999999999,BIG HiBM,-0.198109,ff3,-0.11224013108482031,-0.0858688689151797
1931-04-30 23:59:59.999999999,BIG HiBM,-0.239211,ff3,-0.15638616698177935,-0.08282483301822066
1931-05-31 23:59:59.999999999,BIG HiBM,-0.226987,ff3,-0.22824160708942326,0.0012546070894232653
1931-06-30 23:59:59.999999999,BIG HiBM,0.40369399999999994,ff3,0.28586668696368867,0.11782731303631128
1931-07-31 23:59:59.999999999,BIG HiBM,-0.0006,ff3,-0.10366144275029478,0.10306144275029477
1931-08-31 23:59:59.999999999,BIG HiBM,0.084037,ff3,-0.010927603748427873,0.09496460374842787
1931-09-30 23:59:59.999999999,BIG HiBM,-0.455856,ff3,-0.41031119171671215,-0.04554480828328783
1931-10-31 23:59:59.999999999,BIG HiBM,0.203082,ff3,0.1237913759673854,0.07929062403261461
1931-11-30 23:59:59.999999999,BIG HiBM,-0.069497,ff3,-0.16711244319222937,0.09761544319222937
1931-12-31 23:59:59.999999999,BIG HiBM,-0.310291,ff3,-0.25097316628116395,-0.05931783371883603
1932-01-31 23:59:59.999999999,BIG HiBM,0.076647,ff3,0.07065427019425265,0.00599272980574736
1932-02-29 23:59:59.999999999,BIG HiBM,0.144041,ff3,0.05136217894855541,0.0926788210514446
1932-03-31 23:59:59.999999999,BIG HiBM,0.019677,ff3,-0.15948981970030857,0.17916681970030857
1932-04-30 23:59:59.999999999,BIG HiBM,-0.23026699999999997,ff3,-0.19331958513075423,-0.03694741486924574
1932-05-31 23:59:59.999999999,BIG HiBM,-0.10870800000000001,ff3,-0.2894887274874847,0.1807807274874847
1932-06-30 23:59:59.999999999,BIG HiBM,0.211921,ff3,0.047010692333377437,0.16491030766662257
1932-07-31 23:59:59.999999999,BIG HiBM,0.980192,ff3,0.7536103964152424,0.22658160358475754
1932-08-31 23:59:59.999999999,BIG HiBM,0.6531650000000001,ff3,0.7564670959768649,-0.1033020959768648
1932-09-30 23:59:59.999999999,BIG HiBM,0.155389,ff3,-0.10660024071061056,0.2619892407106106
1932-10-31 23:59:59.999999999,BIG HiBM,-0.300718,ff3,-0.2569274594029075,-0.043790540597092475
