date_t,date_t_plus_h,horizon_months,window_length_months,window_overlap_fraction,structural_inference_eligible,n_portfolios,spearman_rank_autocorrelation,pearson_score_autocorrelation,average_absolute_rank_change,top_quintile_stay_probability,bottom_quintile_stay_probability
1971-06-30 23:59:59.999999999,1972-06-30 23:59:59.999999999,12,120,0.9,False,25,0.7238461538461537,0.7385294613568432,3.84,0.6,0.8
1972-06-30 23:59:59.999999999,1973-06-30 23:59:59.999999999,12,120,0.9,False,25,0.9284615384615384,0.9132832622019725,1.92,0.6,0.6
1973-06-30 23:59:59.999999999,1974-06-30 23:59:59.999999999,12,120,0.9,False,25,0.9123076923076923,0.9012834605811126,2.32,0.8,0.8
1974-06-30 23:59:59.999999999,1975-06-30 23:59:59.999999999,12,120,0.9,False,25,0.8615384615384615,0.8522434297773218,2.48,0.6,0.8
1975-06-30 23:59:59.999999999,1976-06-30 23:59:59.999999999,12,120,0.9,False,25,0.7253846153846153,0.7851286690999806,3.84,0.8,0.4
1976-06-30 23:59:59.999999999,1977-06-30 23:59:59.999999999,12,120,0.9,False,25,0.8538461538461539,0.8933684025152668,3.2,0.6,0.8
1977-06-30 23:59:59.999999999,1978-06-30 23:59:59.999999999,12,120,0.9,False,25,0.8453846153846154,0.8929403082623542,2.96,0.6,0.6
1978-06-30 23:59:59.999999999,1979-06-30 23:59:59.999999999,12,120,0.9,False,25,0.9184615384615386,0.9354079807869129,2.08,0.8,0.8
1979-06-30 23:59:59.999999999,1980-06-30 23:59:59.999999999,12,120,0.9,False,25,0.8315384615384616,0.8370224706936134,3.36,0.6,0.6
1980-06-30 23:59:59.999999999,1981-06-30 23:59:59.999999999,12,120,0.9,False,25,0.6469230769230768,0.6784963010577192,4.64,0.4,0.6
1981-06-30 23:59:59.999999999,1982-06-30 23:59:59.999999999,12,120,0.9,False,25,0.7346153846153847,0.650814984267593,4.32,0.4,0.6
1982-06-30 23:59:59.999999999,1983-06-30 23:59:59.999999999,12,120,0.9,False,25,0.8346153846153845,0.7859918933237718,3.36,0.6,0.6
1983-06-30 23:59:59.999999999,1984-06-30 23:59:59.999999999,12,120,0.9,False,25,0.7969230769230768,0.7964808232141157,3.36,0.6,0.8
1984-06-30 23:59:59.999999999,1985-06-30 23:59:59.999999999,12,120,0.9,False,25,0.85,0.8610398329723292,3.28,0.6,0.8
1985-06-30 23:59:59.999999999,1986-06-30 23:59:59.999999999,12,120,0.9,False,25,0.7069230769230769,0.8672589321804018,4.24,0.6,0.8
1986-06-30 23:59:59.999999999,1987-06-30 23:59:59.999999999,12,120,0.9,False,25,0.9184615384615386,0.9353858233106653,1.84,1.0,0.8
1987-06-30 23:59:59.999999999,1988-06-30 23:59:59.999999999,12,120,0.9,False,25,0.8907692307692309,0.9253727070683555,2.32,0.8,0.8
1988-06-30 23:59:59.999999999,1989-06-30 23:59:59.999999999,12,120,0.9,False,25,0.9038461538461539,0.8601706877291727,2.64,0.8,0.6
1989-06-30 23:59:59.999999999,1990-06-30 23:59:59.999999999,12,120,0.9,False,25,0.5161538461538462,0.7807168744710467,5.44,0.4,0.8
