scope,omitted_decade,n_validation_windows,sample_start,sample_end,median_rank_spearman,median_average_quintile_spread_bps,average_quintile_spread_iqr_bps,positive_average_quintile_spread_fraction
full_sample,,89,1936-06-30 23:59:59.999999999,2024-06-30 23:59:59.999999999,0.09999999999999999,209.33074938810728,498.0448747555252,0.7303370786516854
decade_1930s,,4,1936-06-30 23:59:59.999999999,1939-06-30 23:59:59.999999999,0.02076923076923077,356.843447230977,623.5634895439122,0.75
decade_1940s,,10,1940-06-30 23:59:59.999999999,1949-06-30 23:59:59.999999999,0.05153846153846153,-5.900331901167851,385.7766442053521,0.5
decade_1950s,,10,1950-06-30 23:59:59.999999999,1959-06-30 23:59:59.999999999,0.15192307692307694,270.5470469994961,508.0458673226915,0.8
decade_1960s,,10,1960-06-30 23:59:59.999999999,1969-06-30 23:59:59.999999999,0.16076923076923078,227.75239594956108,447.37978461450217,0.7
decade_1970s,,10,1970-06-30 23:59:59.999999999,1979-06-30 23:59:59.999999999,0.04807692307692307,3.002719535115702,574.9328446254083,0.5
decade_1980s,,10,1980-06-30 23:59:59.999999999,1989-06-30 23:59:59.999999999,-0.032307692307692315,122.69960232920279,434.3203553922991,0.7
decade_1990s,,10,1990-06-30 23:59:59.999999999,1999-06-30 23:59:59.999999999,0.25884615384615384,464.6604105715797,266.2051006512269,1.0
decade_2000s,,10,2000-06-30 23:59:59.999999999,2009-06-30 23:59:59.999999999,0.16653846153846152,228.35885262830965,532.7521030922309,0.8
decade_2010s,,10,2010-06-30 23:59:59.999999999,2019-06-30 23:59:59.999999999,0.17384615384615382,277.6892488572802,251.41738164084938,0.8
decade_2020s,,5,2020-06-30 23:59:59.999999999,2024-06-30 23:59:59.999999999,-0.043076923076923075,472.08191662007283,464.22974975675845,0.8
leave_1930s_out,1930.0,85,1940-06-30 23:59:59.999999999,2024-06-30 23:59:59.999999999,0.11692307692307692,209.33074938810728,487.95292913299494,0.7294117647058823
leave_1940s_out,1940.0,79,1936-06-30 23:59:59.999999999,2024-06-30 23:59:59.999999999,0.1276923076923077,290.3251174680318,487.9658585570326,0.759493670886076
leave_1950s_out,1950.0,79,1936-06-30 23:59:59.999999999,2024-06-30 23:59:59.999999999,0.09538461538461537,209.33074938810728,498.7274198134136,0.7215189873417721
leave_1960s_out,1960.0,79,1936-06-30 23:59:59.999999999,2024-06-30 23:59:59.999999999,0.09692307692307693,209.33074938810728,506.9440791073939,0.7341772151898734
leave_1970s_out,1970.0,79,1936-06-30 23:59:59.999999999,2024-06-30 23:59:59.999999999,0.10461538461538461,290.3251174680318,503.2664412985616,0.759493670886076
leave_1980s_out,1980.0,79,1936-06-30 23:59:59.999999999,2024-06-30 23:59:59.999999999,0.10461538461538461,218.13504533744643,531.8070830883461,0.7341772151898734
leave_1990s_out,1990.0,79,1936-06-30 23:59:59.999999999,2024-06-30 23:59:59.999999999,0.09,181.73792281454257,522.9308089696962,0.6962025316455697
leave_2000s_out,2000.0,79,1936-06-30 23:59:59.999999999,2024-06-30 23:59:59.999999999,0.09999999999999999,209.33074938810728,513.2419433822826,0.7215189873417721
leave_2010s_out,2010.0,79,1936-06-30 23:59:59.999999999,2024-06-30 23:59:59.999999999,0.09538461538461537,197.2932127137622,534.7657293058619,0.7215189873417721
leave_2020s_out,2020.0,84,1936-06-30 23:59:59.999999999,2019-06-30 23:59:59.999999999,0.11076923076923076,203.31198105093472,496.68038874795815,0.7261904761904762
